YT_ID Start_Time
CEA_q7cKgMI 1718
ytU2O3QtMjw 131
dAMUnJqNWaw 1913
sKqwSHAZgGY 500
ATV2p-qxV7o 113
wx_DiRTHcDc 494
Jwl6W9NO4a8 82
sYg2mOizdZI 25584
becFEU7sHJU 2499
sYg2mOizdZI 11725
c2vf3UN51h4 1616
UmvrF64eaEw 286
M1WwelWfWHQ 385
CN7MhxLuc_Q 4266
ouKm3NdV5YE 12066
2gYycOfT5mA 67
TiPszBaCX_0 2163
TGi41UibZOE 76
kqNtLrkvTwc 328
XHAI-RdumDk 1139
sYg2mOizdZI 26828
sYg2mOizdZI 23465
aE9I2k2evdQ 790
81YGLW_Z8Ms 63
55GPK7qyKGg 1107
i7V_BmjLr2k 57
jtVAPRq3wgk 2385
A2kC_KjmLqk 151
mMgmb50WgXQ 122
93GPwmrTfBI 2955
v76xPbDr14M 2500
RWc3Xyh_pp4 62
vtHqobULN6I 4552
-jNU1ysycQA 689
LVKEZkWmGZQ 1397
IWLEuDxkcv4 3839
J54a-qyH3dA 1879
gkh4yW3WVn0 49
Q9fOBAlXTK0 664
5B4GrGJiGzw 78
RiaJr9918oM 278
Awe_NmnErGg 827
Bc1X8fPVogA 6277
hz7qj8WG9LQ 401
ck4C0EYY9A8 1019
Awe_NmnErGg 1100
skKh5wyzlR0 787
rWDik0AmfIo 87
2gYycOfT5mA 665
rIA34K_zQow 4631
mbBSsSL8c9M 3020
eW7DIRDBya4 440
cHR540MtyrU 2048
bul6AM9JaDQ 185
w_gwcBffGm0 8
nQxNSwEmM5s 375
5g8UsTKizbM 1715
IWLEuDxkcv4 1534
EgXG-rCvCT8 738
becFEU7sHJU 2770
becFEU7sHJU 4532
0M4v5Jm_FmQ 11
4BCfnCb0U_U 144
mqguEFfJBuw 87
jT-VXQyvlTw 1116
4Rz-_5QMUFA 1100
s7YxeM4YWo8 5043
XZY3nPnDCQw 234
cKyxhGdD67o 387
2gYycOfT5mA 8294
dItIYHryukk 461
QaKEmoEfP1c 167
ABjFANLe0q8 419
j24tkkGZt58 2169
9SpCZQtbsWk 978
po5rZ0EzSeE 1195
xR88FEJVFSk 2707
_jzU-BbfePY 122
GedgfeJ1Zas 148
sYg2mOizdZI 25186
sYg2mOizdZI 29771
po5rZ0EzSeE 2265
PKY98N8ffnI 4112
gZ5VGvV-Fq4 170
LvoG-UGRp50 63
XAmMrXLVJj4 554
sYg2mOizdZI 13249
1C_T-8loL3A 139
vFhGK7vTdFo 161
CzF3uTeyIIs 108
eWsbggozZS4 183
ik0oolrd5Wc 2416
sYg2mOizdZI 19414
XZY3nPnDCQw 4940
fzbeRpAK7X8 226
H7DjXVYNnzU 385
jT-VXQyvlTw 1601
yoyJAb8hXkw 261
qENf-7PHol4 2326
UCulCuHy65w 85
prqDTwrZqyk 62
oXgBJ86cEbU 1598
5lgxU6htKj4 82
1DK_vTrhaCM 974
sYg2mOizdZI 30792
pQ2q6tQyHXc 99
sYg2mOizdZI 13675
XXjX-x0qU0Y 169
-j1NkyfHMPw 225
zWghoKCjDy8 93
LSeJeKHsUkw 98
wrszAXHxZiQ 95
Pud2WnmJtJc 200
EWloUqaltoI 396
ouKm3NdV5YE 7994
9tVS2fBBSS4 401
sYg2mOizdZI 31294
SHHkElE3TTY 230
j3AuEjbFfS8 20
z15HgMkRuVU 294
cktjeMD2tiE 249
2gYycOfT5mA 7815
dMYhXvXvQNI 2004
-qL66E1G7KY 520
_jzU-BbfePY 649
MAvTvB4m6Ao 1358
sYg2mOizdZI 28908
qENf-7PHol4 2454
ibHIrsNvhV8 1293
SJIbpqgYWGw 33
CEA_q7cKgMI 1883
XHAI-RdumDk 3203
oXgBJ86cEbU 3341
_AV7iNbWyoY 1767
sYg2mOizdZI 11175
rC6VRxiWatc 199
ik0oolrd5Wc 709
sYg2mOizdZI 32300
vtHqobULN6I 3840
1pzqaZN3doE 64
oUAI0nBr_GQ 559
3k3bC0G7Rbg 100
48rN7llQrxU 4632
DO6_Rp_ZDCw 1070
sYg2mOizdZI 16657
IWLEuDxkcv4 2687
sYg2mOizdZI 36543
zfCcc_fGGy4 537
TS7BaiYf1jw 885
my5DHbLwnLI 1349
DuXH58bbA7o 471
T3MIJvUGqZY 341
becFEU7sHJU 4736
j24tkkGZt58 212
wrszAXHxZiQ 75
tXkPOLj_n48 55
EieqUGAJHMw 56
S-B2wwTKE8I 264
mGsVk0GTGmM 32
vAClSdedE1w 545
6Lkf9LTVT9U 22
sXeglUPjua4 2259
pycjsq3viak 0
Wr5wN5JdDJE 62
YGO3uaF_530 235
50-gSdwoWt0 55
YwCBw7cPOAY 676
nu-3GRyfRjg 2524
_IcZOt0KsC8 314
saFnDnZSSMs 947
f9YTQZE8Ve0 24
qAPAId7lpEQ 763
Uf53MWs4DgI 84
MaRIJzz372E 1500
EkxEXv8XN4w 28
pedNfNtzaVw 527
lxPUfbkBrPk 1697
_AV7iNbWyoY 4109
1DK_vTrhaCM 4357
oQDOf6rNfbQ 46
hBz0oAmbeSo 346
2lqdbhgo-Y8 1887
cdYB15qcaNw 690
j24tkkGZt58 1486
shaG1tgt2fY 442
sYg2mOizdZI 31640
sgtTl133tBs 168
dMYhXvXvQNI 3157
PAy3wT18BE8 93
Y-2vFjG-JyI 195
Bc1X8fPVogA 7559
z15HgMkRuVU 139
pUXlnYregS8 1426
BigJ9LPLEcg 80
UV3YDmofI-k 123
h4aqJOfFLvA 1882
cKyxhGdD67o 238
9SpCZQtbsWk 419
sYg2mOizdZI 13891
ewdxL8vmXoM 674
81YGLW_Z8Ms 144
2lqdbhgo-Y8 1447
4BZX_h5Dohk 598
sYg2mOizdZI 27462
PKY98N8ffnI 2590
sYg2mOizdZI 25255
GpDUfeNT2IE 153
2gYycOfT5mA 6700
DhC780htXOc 228
tcz9Mzzm1p4 1083
sYg2mOizdZI 7909
2lqdbhgo-Y8 1064
5g8UsTKizbM 3022
sYg2mOizdZI 30311
sqYMVXZ8iTU 58
n0PvJiIn6kM 352
1j99sWYkBCQ 160
ytU2O3QtMjw 143
po5rZ0EzSeE 1982
sDZuOeRrbRk 269
So9RUFpdPFU 35
jtVAPRq3wgk 2312
di9VJhanyl4 344
92pWOD0lRAY 213
DO6_Rp_ZDCw 1400
93GPwmrTfBI 5235
VYVegCKmnn8 645
eBlLt8MOHXM 468
5RUuBnkSqC8 0
Q9fOBAlXTK0 1828
48rN7llQrxU 3027
ik0oolrd5Wc 2078
J54a-qyH3dA 2752
pI7eN_Mpy64 267
IuC_u7HkA-E 3287
CN7MhxLuc_Q 5598
qrMkehSkblk 139
sYg2mOizdZI 22314
sYg2mOizdZI 25607
dpWZVYRnhIw 1145
ik0oolrd5Wc 2405
0SyI5i_x3IM 79
50-gSdwoWt0 210
OQQi0DPZAwM 3438
pVBTPHjNunw 473
BqwSMcISiLA 1574
WSFZbaTaCUA 1577
zWghoKCjDy8 718
R2-JxPqpNgQ 91
EkE1k7uWTJ4 705
nYqE3jFp-YM 50
cj-I_MXgJeI 340
vtHqobULN6I 4591
Eg_SGvYgNp0 110
sYg2mOizdZI 31829
MAvTvB4m6Ao 463
tk47nwEh0Tw 263
_74aGilhTGU 663
P9iH8NvaUXw 53
qAPAId7lpEQ 351
8jB-hEM03I0 1079
cKyxhGdD67o 439
Jwl6W9NO4a8 10
PKY98N8ffnI 3536
TWsixmdzsnI 220
sYg2mOizdZI 31270
j24tkkGZt58 12
KOxPkbOUzV0 506
ZL9g1YqJsHY 1140
MAvTvB4m6Ao 1347
sYg2mOizdZI 14121
DkVM_IDq9f4 27
7mcMLk6ZsCk 516
aRiFpyJtXDM 75
DkVM_IDq9f4 37
-jNU1ysycQA 84
rIA34K_zQow 9294
e63TvyRj5w4 739
HK-eDj5gdPk 156
u4r-QzzmEsQ 1600
OE8ziLE2wcM 42
BaGOThZohyc 176
IWLEuDxkcv4 4915
dMKubtqFFlc 106
dAMUnJqNWaw 525
akP3BNqwCIE 74
b1KhtJdiPkk 99
dpcAENP603k 103
t-7C1-laJ4M 197
MzcdEI-tSUc 18
zWghoKCjDy8 799
ouKm3NdV5YE 9378
S742NDLvooY 74
8jB-hEM03I0 778
tmZeR3hiGQM 15
YOzE4Kw55aY 7
48rN7llQrxU 3156
sYg2mOizdZI 26160
SQq9sDCBBJM 551
KOxPkbOUzV0 1201
sYg2mOizdZI 18333
GkC5Z9P6z00 781
Dsn4l84tfr8 88
j24tkkGZt58 3609
ObuCjLo8fYc 397
becFEU7sHJU 4267
9u2EtfxI7pM 283
dAMUnJqNWaw 3079
becFEU7sHJU 3262
2lqdbhgo-Y8 1705
nthpBLTOGb0 75
var4vGztooM 74
MWoDBG2auaI 1102
UmvrF64eaEw 192
c5Kf_H3SE10 270
FTiIbi_Hp50 577
_AV7iNbWyoY 2599
8CJcfZtbZ2U 17
9u2EtfxI7pM 154
TiPszBaCX_0 1837
69Aw5PC1h4Y 35
sYg2mOizdZI 34360
6lyC0WfzRQw 3767
dMYhXvXvQNI 3304
Lw7BG_ZC1fU 139
sssLsGfV_Bk 394
dAMUnJqNWaw 1903
KDPnmYy19ZU 683
ANHj7Pgfn5k 61
PKY98N8ffnI 3031
k_ifQUI8JSc 214
OEapffs2lq0 157
wx_DiRTHcDc 14
tobHUcEiD3o 283
k_ifQUI8JSc 259
TMrnMivgH-s 203
w62xqW9B1Kw 219
gzUVlpffsbE 2398
FCN5Wf9iDC8 111
ObuCjLo8fYc 350
XZY3nPnDCQw 2508
-KLqIejLi6w 159
UmvrF64eaEw 361
aWCknOtpQPo 1715
PnH4TzziaYU 1137
uQHumRYHH-8 261
aYrxFDZFkNY 89
z1J4VXl6BkI 319
GqwLqFJamcc 131
sYg2mOizdZI 13915
sYg2mOizdZI 10098
v76xPbDr14M 1368
rjLcIc0xTjU 68
dw8FWzSxl7o 163
IWLEuDxkcv4 1286
CEA_q7cKgMI 2409
w3sz4OSY7II 535
_PnWPDbk61s 12
IuC_u7HkA-E 1290
v76xPbDr14M 2311
miL-qUw3S9U 43
5mg-xwG0d_Y 427
my5DHbLwnLI 2944
N9BPMQmnG-g 211
w3sz4OSY7II 922
_IcZOt0KsC8 3259
khCdQALXXZc 271
zWghoKCjDy8 2217
19s6r7e1FuE 315
bg44VOctVHg 556
Ax_zb6OH7nM 169
DaEqGvzAuOU 154
VuzXRyi4gOo 24
u4r-QzzmEsQ 1684
TrhOtLNHVVY 513
RtdZJtLAcSQ 302
tVVkRIB8gXo 513
VdGS6I09l_8 2374
9O4psN_VXNU 94
oc0IFUeM77c 1138
ck4C0EYY9A8 2612
U1LRGt0LaFg 271
qENf-7PHol4 2245
q3rNT2B2fQg 167
TGma4afvBYs 864
tcz9Mzzm1p4 664
MZ7dKdTHbqY 120
SJt7TIsw5kg 53
RQp1HbiEiSI 209
CEA_q7cKgMI 1038
becFEU7sHJU 3664
ygnZjaQF1o4 1417
sYg2mOizdZI 14600
sYg2mOizdZI 22039
DRcH9vm_DBk 93
UgsOaTBIjMo 1127
tHp1jninkME 129
8DhoMpNNOlY 692
2lqdbhgo-Y8 2500
_74aGilhTGU 557
UoVNlY0b7fc 114
sYg2mOizdZI 15490
4Fs9TruppV8 188
dAMUnJqNWaw 2909
2BhR-0jyYcc 882
tcz9Mzzm1p4 3342
5g8UsTKizbM 664
sYg2mOizdZI 34494
vddzJBJr-q0 205
uXwJultSIHE 127
j24tkkGZt58 3121
X49FLvg_gos 25
MYwzuSkQvgo 191
v76xPbDr14M 3602
nx_dNjSb7HI 99
EgXG-rCvCT8 1559
Pud2WnmJtJc 153
sYg2mOizdZI 36189
gzUVlpffsbE 882
sYg2mOizdZI 8606
jjFB8jUvEno 80
ibIbvtJMdkc 349
rIA34K_zQow 4142
uBp-cC_5me0 1055
bGNAa5z-Pik 1043
1DK_vTrhaCM 3420
fMWxPYpPDFk 4275
pKlMC33Owl8 456
QqMf0qWsCYM 519
jT-VXQyvlTw 2515
Wm1pVImlMkQ 144
CsyKQPtO9Ig 67
KKqelAobVOY 531
ZhDiGJrNcnI 654
w3sz4OSY7II 341
w5fbtTYnpSk 258
CEA_q7cKgMI 564
ObuCjLo8fYc 9957
9tVS2fBBSS4 1746
ONwWgyOc7Ok 596
kqNtLrkvTwc 1538
ik0oolrd5Wc 304
oJMwiefvnlI 53
2HiF7eW9cVU 322
TLp63oFVuqk 102
sYg2mOizdZI 19364
hoq-uokv1eY 2
pedNfNtzaVw 178
Au5ro1NOnhI 165
oXgBJ86cEbU 3371
KgcTz4C31SM 863
zP3uRIu2FXU 347
meKA7rPTgG0 47
_96zf_xKJzg 2
SQq9sDCBBJM 840
nQxNSwEmM5s 1922
KOxPkbOUzV0 854
sYg2mOizdZI 10166
Q9fOBAlXTK0 1139
o3Mkoo3bM00 35
MxRm6CS0WE8 460
xHUY2o-DUcw 193
sYg2mOizdZI 31407
CN7MhxLuc_Q 4375
UQx2F4PpFBI 473
1DK_vTrhaCM 5461
po5rZ0EzSeE 1769
my5DHbLwnLI 2483
R3iUIMlPtNY 172
KOxPkbOUzV0 2154
FTiIbi_Hp50 1491
nQxNSwEmM5s 1874
ABjFANLe0q8 394
sYg2mOizdZI 35596
f3VDCfFG-W0 382
Awe_NmnErGg 943
sYg2mOizdZI 16511
M1WwelWfWHQ 444
IWLEuDxkcv4 6228
WtsVV5c46Ow 59
madtJGQ7UqY 14
sYg2mOizdZI 28055
kollE03EaUw 4
CN7MhxLuc_Q 7107
ytU2O3QtMjw 182
madtJGQ7UqY 130
48rN7llQrxU 1419
T3MIJvUGqZY 581
MWoDBG2auaI 1183
M1WwelWfWHQ 343
Idars1wIaD0 1780
saFnDnZSSMs 1335
iQgcaE2Cc98 921
MzcdEI-tSUc 462
j24tkkGZt58 809
ObuCjLo8fYc 4084
po5rZ0EzSeE 920
sYg2mOizdZI 21643
sYg2mOizdZI 24506
